Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
20	1	42024600	0.9693934425223634	0.9693934425223634	42024599	2101	42	2.0	0.003626206624337071	0.0041563294063573005	0.007252413248674142
20	42024600	42424646	1.1875069670898952	0.9693934425223634	400046	20	0	2.25	0.017578430330803394	0.020148258075304272	0.03515686066160679
20	42424646	63025520	0.9693934425223634	0.9693934425223634	20600874	1030	20	2.0	0.0029186632961577218	0.0033453488291759416	0.0058373265923154435
21	1	24064947	1.1875069670898952	0.9693934425223634	24064946	1203	24	2.25	0.0008963739813308046	0.0010274167811327897	0.0017927479626616092
21	24064947	48129895	0.9693934425223634	0.9693934425223634	24064948	1203	24	2.0	0.0022831081136393937	0.002616880496253344	0.0045662162272787875
22	1	3123242	0.9693934425223634	0.09693934425223631	3123241	156	3	1.0	0.005033037065371771	0.005768827351892907	0.010066074130743542
22	3123242	4346182	0.7680578813831032	0.09693934425223631	1222940	61	1	0.7692307692307692	0.009916057769588269	0.011365707134907725	0.019832115539176538
22	4346182	17788161	0.9693934425223634	0.09693934425223631	13441979	672	13	1.0	0.007690656004875778	0.008814969200241657	0.015381312009751557
22	17788161	18828259	0.9693934425223634	0.09693934425223631	1040098	52	1	1.0	0.004963713921960595	0.005689369712174522	0.00992742784392119
22	18828259	51304566	0.9693934425223634	0.09693934425223631	32476307	1623	32	1.0	0.020713878774381436	0.02374208432908072	0.04142775754876287
