sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	total_copy_ratio	modal_total_cn	expected_total_cn	total_HZ	total_amp	corrected_total_cn	rescaled_total_cn	bi.allelic	copy.ratio	hscr.a1	hscr.a2	modal.a1	modal.a2	expected.a1	expected.a2	subclonal.a1	subclonal.a2	cancer.cell.frac.a1	ccf.ci95.low.a1	ccf.ci95.high.a1	cancer.cell.frac.a2	ccf.ci95.low.a2	ccf.ci95.high.a2	LOH	HZ	SC_HZ	amp.a1	amp.a2	rescaled.cn.a1	rescaled.cn.a2
p2_t1	9	1	85298823	4264	85298822	0.07676	0.02961	1.25	3	2.99298	0	0	2.99298	2.8875	0	1.04793	0.93149	1.16436	1	1	1	1.00014	1	1	0.18	0.03191	0.32639	0.28	0.0261	0.59237	0	0	0	0	0	1	1.00014
p2_t1	9	85298823	86316183	50	1017360	0.06466	0.00035	0.75	1	1.00045	0	0	1.00045	0.9325	0	0.81506	0.69862	0.93149	0	1	0	1	1	1	0.63	0.4996	0.7589	0.18	0.00759	0.4482	1	0	0	0	0	0	1
p2_t1	9	86316183	141213431	2744	54897248	0.08761	0.01905	1.25	3	2.98457	0	0	2.98457	2.8875	0	1.04793	0.93149	1.16436	1	1	1	1.00096	1	1	0.18	0.02265	0.34694	0.28	0.02049	0.63886	0	0	0	0	0	1	1.00096
p2_t1	10	1	16293710	814	16293709	0.16512	0.00566	1.5	4	3.86398	0	0	3.86398	3.865	0	1.16436	0.93149	1.39724	1	2	1	1.82008	1	1	0.18	0.00586	0.50214	0.73	0.10254	0.9778	0	0	0	0	0	1	1.82008
p2_t1	10	16293710	17139888	42	846178	0.06893	0.00029	0.5	0	0.02928	1	0	0.02928	-0.0450000000000001	0	0.69862	0.46575	0.93149	0	1	0	1	0	1	1	0.89057	1	0.18	0.0068	0.46694	1	0	0	0	0	0	1
p2_t1	10	17139888	128797053	5582	111657165	0.02658	0.03876	1.5	4	4	0	0	4	3.865	0	1.16436	0.93149	1.39724	1	2	1	2	1	1	0.18	0.11034	0.23794	0.73	0.61076	0.84262	0	0	0	0	0	1	2
p2_t1	10	128797053	134907268	305	6110215	0.06512	0.00212	1.75	5	4.99268	0	0	4.99268	4.8425	0	1.2808	1.16436	1.39724	1	2	1	1.99999	1	1	0.28	0.14083	0.40195	0.73	0.45445	0.95621	0	0	0	0	0	1	1.99999
p2_t1	10	134907268	135534747	31	627479	0.00541	0.00022	1.5	4	4	0	0	4	3.865	0	1.16436	0.93149	1.39724	1	2	1	2	1	1	0.18	0.13348	0.21436	0.73	0.6819	0.7708	0	0	0	0	0	1	2
p2_t1	11	1	135006516	6750	135006515	0.04386	0.04686	1	2	2	0	0	2	1.91	0	0.93149	0.93149	0.93149	1	1	1	1	1	1	0.18	0.0815	0.2666	0.18	0.01879	0.35939	0	0	0	0	0	1	1
p2_t1	12	1	133851895	6692	133851894	0.00664	0.04646	1	2	2	0	0	2	1.91	0	0.93149	0.93149	0.93149	1	1	1	1	1	1	0.18	0.13289	0.21509	0.18	0.12632	0.22096	0	0	0	0	0	1	1
p2_t1	13	1	115169878	5758	115169877	0.12429	0.03998	0.5	1	0.82955	0	0	0.82955	-0.0450000000000001	0	0.69862	0.46575	0.93149	0	1	0	0.99356	0	1	1	0.77628	1	0.18	0.00556	0.71258	1	0	0	0	0	0	0.99356
p2_t1	14	1	107349540	5367	107349539	0.03168	0.03726	1.5	4	4	0	0	4	3.865	0	1.16436	0.93149	1.39724	1	2	1	2	1	1	0.18	0.10192	0.24615	0.73	0.59076	0.86254	0	0	0	0	0	1	2
p2_t1	15	1	102531392	5126	102531391	0.023	0.03559	1	2	2	0	0	2	1.91	0	0.93149	0.93149	0.93149	1	1	1	1	1	1	0.18	0.115	0.23264	0.18	0.07189	0.2763	0	0	0	0	0	1	1
p2_t1	16	1	90354753	4517	90354752	0.0132	0.03136	1	2	2	0	0	2	1.91	0	0.93149	0.93149	0.93149	1	1	1	1	1	1	0.18	0.12773	0.21966	0.18	0.10719	0.24018	0	0	0	0	0	1	1
p2_t1	17	1	81195210	4059	81195209	0.06391	0.02818	1	2	1.99958	0	0	1.99958	1.91	0	0.93149	0.93149	0.93149	1	1	1	1	1	1	0.18	0.04813	0.30244	0.18	0.00776	0.44499	0	0	0	0	0	1	1
p2_t1	18	1	78077248	3903	78077247	0.02616	0.0271	1.08333	2	2	0	0	2	2.2358203	0	0.9703	0.93149	1.00912	1	1	1	1	1	0	0.18	0.11084	0.23739	0.03	0	0.14501	0	0	0	0	0	1	1
p2_t1	19	1	59128983	2956	59128982	0.03609	0.02052	0.5	0	0	1	0	0	-0.0450000000000001	0	0.69862	0.46575	0.93149	0	1	0	1	0	1	1	0.95056	1	0.18	0.03123	0.32768	1	0	0	0	0	0	1
p2_t1	20	1	63025520	3151	63025519	0.00081	0.02188	1	2	2	0	0	2	1.91	0	0.93149	0.93149	0.93149	1	1	1	1	1	1	0.18	0.13476	0.21275	0.18	0.13464	0.21289	0	0	0	0	0	1	1
p2_t1	21	1	48129895	2406	48129894	0.04128	0.01671	0.5	0	0	1	0	0	-0.0450000000000001	0	0.69862	0.46575	0.93149	0	1	0	1	0	1	1	0.94165	1	0.18	0.02199	0.34879	1	0	0	0	0	0	1
p2_t1	22	1	16455073	822	16455072	0.04067	0.00571	0.75	1	1	0	0	1	0.9325	0	0.81506	0.69862	0.93149	0	1	0	1	1	1	0.63	0.54216	0.71637	0.18	0.02285	0.34639	1	0	0	0	0	0	1
p2_t1	22	16455073	21078684	231	4623611	0.0412	0.0016	1.25	3	3	0	0	3	2.8875	0	1.04793	0.93149	1.16436	1	1	1	1	1	1	0.18	0.08586	0.2618	0.28	0.09862	0.44532	0	0	0	0	0	1	1
p2_t1	22	21078684	47702102	1331	26623418	0.12358	0.00924	0.75	1	1.19772	0	0	1.19772	0.9325	0	0.81506	0.69862	0.93149	0	1	0.00018	0.99389	1	1	0.63	0.3893	0.86672	0.18	0.00554	0.70955	1	0	0	0	0	0.00018	0.99389
p2_t1	22	47702102	48069245	18	367143	0.04917	0.00013	0.75	1	1	0	0	1	0.9325	0	0.81506	0.69862	0.93149	0	1	0	1	1	1	0.63	0.5273	0.73089	0.18	0.01387	0.38169	1	0	0	0	0	0	1
p2_t1	22	48069245	51304566	161	3235321	0.01913	0.00112	0.75	1	1	0	0	1	0.9325	0	0.81506	0.69862	0.93149	0	1	0	1	1	1	0.63	0.57561	0.68255	0.18	0.08609	0.26155	1	0	0	0	0	0	1
