Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
9	1	118183313	1.8457553047597552	0.9977055701404083	118183312	5909	118	3.0	0.01399493827627658	0.01650249708828493	0.02798987655255316
9	118183313	118587812	2.22266629792391	0.9977055701404083	404499	20	0	3.4444444444444446	0.00024694238466730224	0.0002911885642864378	0.0004938847693346045
9	118587812	141213431	1.8457553047597552	0.9977055701404083	22625619	1131	22	3.0	0.004122503615960397	0.004861157839770814	0.008245007231920794
10	1	135534747	1.5630720598866394	0.9977055701404083	135534746	6776	135	2.6666666666666665	0.019907132983116367	0.023474015933808202	0.039814265966232734
11	1	135006516	0.9977055701404083	0.9977055701404083	135006515	6750	135	2.0	0.01691055919251164	0.019940527662687217	0.03382111838502328
12	1	100282058	0.9977055701404083	0.9977055701404083	100282057	5014	100	2.0	0.0008358933490106752	0.000985665480322179	0.0016717866980213503
12	100282058	104315956	0.9977055701404083	0.14965583552106126	4033898	201	4	1.0	0.02157591604167659	0.02544180507451145	0.04315183208335318
12	104315956	133851895	0.9977055701404083	0.9977055701404083	29535939	1476	29	2.0	0.007207669653364973	0.008499111973191273	0.014415339306729946
13	1	57584939	0.9977055701404083	0.14965583552106126	57584938	2879	57	1.0	0.001548499729083021	0.0018259539103305962	0.003096999458166042
13	57584939	115169878	0.9977055701404083	0.14965583552106126	57584939	2879	57	1.0	0.011199779288076868	0.013206512343411046	0.022399558576153736
14	1	53674770	1.8457553047597552	0.9977055701404083	53674769	2683	53	3.0	0.0090321048385876	0.010650442385483114	0.0180642096771752
14	53674770	96743901	0.9977055701404083	0.9977055701404083	43069131	2153	43	2.0	0.008607781684432584	0.010150090652756641	0.017215563368865167
14	96743901	103112291	1.5630720598866394	0.9977055701404083	6368390	318	6	2.6666666666666665	0.0063528292524034245	0.0074911045815667125	0.012705658504806849
14	103112291	107349540	0.9977055701404083	0.9977055701404083	4237249	211	4	2.0	0.005014507096336457	0.005912987047377891	0.010029014192672913
15	1	102531392	0.9977055701404083	0.14965583552106126	102531391	5126	102	1.0	4.702034764901999e-05	5.5445271343815e-05	9.404069529803998e-05
16	1	64089709	1.1861610667224856	0.9977055701404083	64089708	3204	64	2.2222222222222223	0.01557542347134811	0.01836616749646086	0.03115084694269622
16	64089709	64599365	0.9977055701404083	0.9034778218493695	509656	25	0	1.8888888888888888	0.026307362193918212	0.03102101341465127	0.052614724387836424
16	64599365	90354753	1.1861610667224856	0.9977055701404083	25755388	1287	25	2.2222222222222223	0.0002838304824982518	0.0003346861285507637	0.0005676609649965036
17	1	81195210	0.9977055701404083	0.14965583552106126	81195209	4059	81	1.0	0.008358470807659401	0.00985610921912635	0.016716941615318802
18	1	78077248	0.9977055701404083	0.9977055701404083	78077247	3903	78	2.0	0.0013381153093955786	0.0015778736255323527	0.002676230618791157
19	1	59128983	0.9977055701404083	0.9977055701404083	59128982	2956	59	2.0	0.005066820338954072	0.005974673574101582	0.010133640677908144
20	1	31512760	1.8457553047597552	0.9977055701404083	31512759	1575	31	3.0	0.002006796913041781	0.0023663670078766614	0.004013593826083562
20	31512760	63025520	0.9977055701404083	0.9977055701404083	31512760	1575	31	2.0	0.018528763360059684	0.021848675382672513	0.03705752672011937
21	1	48129895	0.9977055701404083	0.14965583552106126	48129894	2406	48	1.0	0.01648699576522304	0.01944107178174325	0.03297399153044608
22	1	24985628	0.9977055701404083	0.9977055701404083	24985627	1249	24	2.0	0.004355043984592372	0.005135363890594417	0.008710087969184745
22	24985628	29245858	0.9977055701404083	0.14965583552106126	4260230	213	4	1.0	0.003192669666810504	0.0037647198465825308	0.006385339333621008
22	29245858	51304566	0.9977055701404083	0.9977055701404083	22058708	1102	22	2.0	0.014160950974695842	0.016698255298732076	0.028321901949391683
